id1,name1,age1,id12,id13,id21,name2,age2,id31,name3,age3
0,GTP,46,87,37,87,yXt,39,37,TOU,50
12,GTP,46,87,67,87,yXt,39,67,YvV,30
1,zZp,20,31,62,31,hbh,24,62,obp,39
2,bcw,43,43,81,43,Vdl,50,81,aDZ,43
3,Jao,31,13,54,13,ZEa,28,54,BkL,27
42,MZD,26,13,66,13,ZEa,28,66,YRG,24
4,JYY,29,46,4,46,TtH,38,4,hsj,36
5,EvP,46,9,6,9,Vdl,35,6,wOD,30
6,tkA,20,54,49,54,ieg,50,49,Haq,42
7,JSI,47,29,69,29,hbh,38,69,Wny,24
8,ZoL,43,53,44,53,Vdl,50,44,Svg,22
9,NHX,28,72,21,72,TtH,33,21,fjB,25
10,wFd,23,7,15,7,VQK,35,15,tmd,47
11,wFd,48,81,35,81,QJT,35,35,fNs,41
13,zri,41,76,42,76,QJT,38,42,WKc,41
14,mTL,32,23,95,23,ieg,33,95,szY,24
15,Wuk,37,32,9,32,rdJ,29,9,Svg,24
16,Wuk,42,92,96,92,WyC,24,96,vKq,35
17,WSo,31,59,31,59,xGc,29,31,Inc,42
18,Vtd,41,74,76,74,mnk,24,76,vKq,40
19,jiz,47,1,59,1,TtH,38,59,ikw,42
20,ZHC,32,52,30,52,FEH,24,30,obp,26
21,UNc,29,68,79,68,TtH,38,79,SbJ,27
22,Eal,28,55,27,55,tCy,28,27,vKq,49
23,Haz,31,78,51,78,RQB,38,51,xYq,25
24,uOE,23,10,7,10,mnk,50,7,EBa,36
25,BlB,25,26,38,26,Vdl,44,38,moZ,25
29,BlB,29,56,38,56,tCy,39,38,moZ,25
26,QfW,35,34,26,34,FEH,24,26,pTy,45
27,Vtd,31,63,45,63,ZEa,29,45,qlo,42
28,qxY,31,70,25,70,hbh,33,25,hsj,20
30,tbK,36,86,77,86,rdJ,46,77,Jcf,36
31,mAm,34,91,74,91,Vdl,50,74,aDZ,36
32,hzE,21,17,8,17,hbh,50,8,SbJ,44
33,EvP,42,30,23,30,WyC,29,23,Mzs,24
34,tha,45,50,36,50,rdJ,42,36,Svg,45
35,RfA,44,88,13,88,yXt,50,13,TOU,50
36,jmX,28,36,58,36,FEH,46,58,qOJ,44
37,kBl,30,49,68,49,RQB,38,68,jXz,38
38,Mpz,50,18,39,18,xGc,35,39,rHZ,24
39,Wuk,40,33,92,33,rdJ,44,92,Inc,24
51,eLC,37,20,92,20,tCy,21,92,Inc,24
40,bwA,23,64,64,64,cxz,38,64,wOD,43
63,bwA,32,64,46,64,cxz,38,46,BkL,25
41,wDY,40,58,5,58,vZf,29,5,hsj,44
