id1,name1,age1,id12,id13
0,GTP,46,87,37
1,zZp,20,31,62
2,bcw,43,43,81
3,Jao,31,13,54
4,JYY,29,46,4
5,EvP,46,9,6
6,tkA,20,54,49
7,JSI,47,29,69
8,ZoL,43,53,44
9,NHX,28,72,21
10,wFd,23,7,15
11,wFd,48,81,35
12,GTP,46,87,67
13,zri,41,76,42
14,mTL,32,23,95
15,Wuk,37,32,9
16,Wuk,42,92,96
17,WSo,31,59,31
18,Vtd,41,74,76
19,jiz,47,1,59
20,ZHC,32,52,30
21,UNc,29,68,79
22,Eal,28,55,27
23,Haz,31,78,51
24,uOE,23,10,7
25,BlB,25,26,38
26,QfW,35,34,26
27,Vtd,31,63,45
28,qxY,31,70,25
29,BlB,29,56,38
30,tbK,36,86,77
31,mAm,34,91,74
32,hzE,21,17,8
33,EvP,42,30,23
34,tha,45,50,36
35,RfA,44,88,13
36,jmX,28,36,58
37,kBl,30,49,68
38,Mpz,50,18,39
39,Wuk,40,33,92
40,bwA,23,64,64
41,wDY,40,58,5
42,MZD,26,13,66
43,Llh,40,15,33
44,njR,38,5,32
45,kmN,39,71,50
46,wrt,25,51,56
47,mNo,36,57,61
48,bDV,50,61,90
49,Fij,40,19,91
50,Llh,43,62,75
51,eLC,37,20,92
52,hzE,24,4,47
53,tkA,49,21,83
54,erE,25,0,10
55,jmX,31,80,93
56,xkd,37,60,80
57,dSJ,43,25,18
58,mTL,24,83,60
59,WSo,38,90,78
60,Jao,27,14,57
61,fWi,29,75,89
62,NHX,26,24,22
63,bwA,32,64,46
64,Jao,38,28,82
65,IdA,42,16,24
66,tha,30,69,3
67,MZD,21,84,65
68,GNi,31,93,53
69,IdA,47,85,11
70,MZz,42,40,19
71,MZD,21,12,70
72,njR,33,40,52
73,wOF,26,38,28
74,Vtd,29,65,71
75,EDK,47,42,48
76,fuB,28,2,2
77,wOF,41,45,86
78,kBl,33,22,34
79,tkA,33,35,41
80,MiD,34,66,40
81,wOF,22,6,97
82,PdT,28,3,88
83,RfA,36,79,73
84,UFx,21,73,1
85,ZoL,38,11,20
86,fvE,22,44,29
87,JSI,47,27,94
88,bwA,30,48,12
89,tbK,40,47,43
90,kBl,29,71,87
91,jmX,44,37,17
92,MZz,44,82,16
93,Fij,37,89,63
94,NHX,42,2,85
95,ySf,42,39,14
96,MZz,36,41,55
97,zri,43,77,0
98,ZoL,25,8,72
99,wFd,21,67,84
