id31,name3,age3
0,Mzs,44
1,YRG,39
2,YRG,41
3,iQw,43
4,hsj,36
5,hsj,44
6,wOD,30
7,EBa,36
8,SbJ,44
9,Svg,24
10,xXS,29
11,xXS,49
12,JnE,41
13,TOU,50
14,ftk,41
15,tmd,47
16,Inc,24
17,ubB,43
18,ubB,44
19,Bqm,25
20,Haq,20
21,fjB,25
22,TOU,30
23,Mzs,24
24,Svg,41
25,hsj,20
26,pTy,45
27,vKq,49
28,MYX,29
29,xXS,49
30,obp,26
31,Inc,42
32,Wny,44
33,kqP,42
34,Haq,42
35,fNs,41
36,Svg,45
37,TOU,50
38,moZ,25
39,rHZ,24
40,szY,24
41,szY,44
42,WKc,41
43,Haq,49
44,Svg,22
45,qlo,42
46,BkL,25
47,SbJ,42
48,WKc,36
49,Haq,42
50,THL,42
51,xYq,25
52,vKq,47
53,iRh,49
54,BkL,27
55,cDz,41
56,wfq,49
57,fNs,37
58,qOJ,44
59,ikw,42
60,obp,35
61,oXQ,24
62,obp,39
63,wfq,24
64,wOD,43
65,ikw,42
66,YRG,24
67,YvV,30
68,jXz,38
69,Wny,24
70,AfC,30
71,AfC,44
72,Svg,22
73,YRG,24
74,aDZ,36
75,pTy,24
76,vKq,40
77,Jcf,36
78,SbJ,24
79,SbJ,27
80,YvV,33
81,aDZ,43
82,fNs,23
83,jXz,40
84,YvV,25
85,moZ,41
86,ubB,47
87,vav,40
88,THL,42
89,YRG,24
90,ftk,22
91,wfq,29
92,Inc,24
93,oXQ,39
94,kqP,26
95,szY,24
96,vKq,35
97,wRK,47
