id1,name1,age1,id12,id13
0,tha,28,0,0
1,zpQ,43,1,1
2,uOE,21,2,2
3,mNo,40,3,3
4,ffL,23,4,4
5,YOX,21,5,5
6,dSJ,24,6,6
7,HjO,36,7,7
8,Vtd,39,8,8
9,gmz,49,9,9
10,cRB,22,10,10
11,Zvq,48,11,11
12,bcw,34,12,12
13,eWt,26,13,13
14,tbK,46,14,14
15,WJr,32,15,15
16,XZC,22,16,16
17,qxY,31,17,17
18,CSW,47,18,18
19,ySf,33,19,19
20,xRJ,43,0,20
21,wDY,29,1,21
22,ZoL,25,2,22
23,MZD,40,3,23
24,EDK,28,4,24
25,PdT,20,5,25
26,FBH,38,6,26
27,bDV,50,7,27
28,QfW,43,8,28
29,zZp,35,9,29
30,sxK,24,10,30
31,iTG,30,11,31
32,CXX,36,12,32
33,erE,40,13,33
34,dnp,28,14,34
35,JYY,38,15,35
36,NHX,41,16,36
37,jiz,30,17,37
38,XIZ,31,18,38
39,UFx,46,19,39
40,kiJ,29,0,40
41,JEO,25,1,41
42,KNb,33,2,42
43,Eal,35,3,43
44,SnD,30,4,44
45,tkA,46,5,45
46,JSI,32,6,46
47,Wuk,37,7,47
48,Fij,26,8,48
49,nCM,41,9,49
50,mTL,32,10,0
51,cor,37,11,1
52,GDF,26,12,2
53,hzE,21,13,3
54,IdA,44,14,4
55,SIS,23,15,5
56,FyA,33,16,6
57,vEb,27,17,7
58,MiD,36,18,8
59,BMv,42,19,9
60,fuB,28,0,10
61,QbZ,36,1,11
62,mAm,43,2,12
63,Llh,40,3,13
64,fvE,38,4,14
65,uBq,35,5,15
66,eLC,33,6,16
67,EvP,39,7,17
68,UNc,45,8,18
69,njR,29,9,19
70,Iai,34,10,20
71,zri,23,11,21
72,wrt,37,12,22
73,Mpz,30,13,23
74,Rmm,44,14,24
75,kmN,29,15,25
76,fWi,26,16,26
77,Haz,20,17,27
78,GTP,30,18,28
79,ZHC,40,19,29
80,AWi,42,0,30
81,MZz,38,1,31
82,RfA,34,2,32
83,Jao,33,3,33
84,fvF,25,4,34
85,wFd,23,5,35
86,BlB,28,6,36
87,xkd,27,7,37
88,jmX,41,8,38
89,LWb,43,9,39
90,wOF,48,10,40
91,zbV,39,11,41
92,iZJ,47,12,42
93,ERd,20,13,43
94,bwA,20,14,44
95,kBl,36,15,45
96,zHW,23,16,46
97,WSo,37,17,47
98,GNi,31,18,48
99,Mlu,42,19,49
