id31,name3,age3
0,iQw,44
1,hsj,44
2,EBa,36
3,SbJ,40
4,xXS,49
5,tmd,44
6,ubB,43
7,YAX,36
8,TOU,50
9,Mzs,41
10,iRh,27
11,oMN,30
12,MYX,43
13,Bqm,42
14,Haq,42
15,fNs,20
16,wRK,33
17,cDz,30
18,szY,27
19,vKq,47
20,rHZ,35
21,fjB,41
22,Svg,22
23,qlo,41
24,WKc,36
25,THL,42
26,YRG,24
27,xYq,25
28,pTy,45
29,obp,26
30,llU,20
31,wfq,29
32,oXQ,24
33,wOD,30
34,ikw,42
35,jXz,38
36,moZ,25
37,AfC,37
38,qOJ,49
39,ftk,41
40,XeK,23
41,Jcf,41
42,aDZ,26
43,YvV,33
44,JnE,25
45,vav,40
46,Wny,23
47,Inc,24
48,BkL,39
49,kqP,24
